"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2948","@smoke intercept and log requests","chromium","2026-06-26","passed","2026-06-26","","api/intercept.spec.ts","",""
"","3133","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","1702","@smoke GET -- get a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","3451","@smoke logout link exist test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
"","2209","@smoke login page title test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","2179","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","2961","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
"","3162","@smoke user is able to login to app test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","779","@smoke GET -- get all users","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","2310","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","3015","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","3295","@smoke home page title test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
"","2983","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
