"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1911","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","2470","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
"","2538","@smoke home page title test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
"","1032","@regression GET -- get location data","chromium","2026-06-26","passed","2026-06-26","","api/amadeus.oauth2.spec.ts","",""
"","0","Update a user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","2454","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","3949","@regression verify product Information/Data","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
"","3778","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","3832","@regression verify product images count","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
"","2587","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-26","skipped","2026-06-26","","search.spec.ts","",""
"","366","@regression PUT API -- Update a user","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3","mock search page with fake HTML","chromium","2026-06-26","skipped","2026-06-26","","api/intercept.spec.ts","",""
"","2480","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","1","login page title test","chromium","2026-06-26","skipped","2026-06-26","","loginpage.spec.ts","",""
"","3893","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","0","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-26","skipped","2026-06-26","","loginpagefix.spec.ts","",""
"","2379","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","2744","@smoke user is able to login to app test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","1","logout link exist test","chromium","2026-06-26","skipped","2026-06-26","","homepage.spec.ts","",""
"","2663","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-26","skipped","2026-06-26","","loginpagefix.spec.ts","",""
"","2310","invalid login test with JSON data - invalid@open.com","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
