"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3079","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
"","2995","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","3249","@smoke home page title test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
"","2500","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","1659","@smoke GET -- get a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","3094","@smoke logout link exist test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
"","2408","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","3125","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","3078","@smoke user is able to login to app test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","2336","@smoke login page title test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","1208","@smoke GET -- get all users","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","2874","@smoke intercept and log requests","chromium","2026-06-26","passed","2026-06-26","","api/intercept.spec.ts","",""
"","3184","@smoke footers exist on product page","chromium","2026-06-26","passed","2026-06-26","","productpage.spec.ts","",""
